Date,open,high,low,close,volume,Target_Dir,Log_Ret_t,RSI_14,MACD_Signal,ATR_14,VIX_Change,Term_Spread,Oil_Ret,Gold_Ret,FG_Index,FG_Delta,FG_Zone,SVI_Market,SVI_Index
2016-02-22,1924.43994140625,1946.699951171875,1924.43994140625,1945.5,4054710000,0,0.014350731099076084,67.4862952169949,7.426428486871284,31.534942550984386,-1.1500000000000021,-0.010000000000000009,0.0591743491713353,-0.017132288543675846,0.0,0.0,0.0,0.6359763636234096,0.4449377357176673
2016-02-23,1942.3800048828125,1942.3800048828125,1919.43994140625,1921.27001953125,3890650000,1,-0.01253257757078849,56.56336781762407,6.702390931857273,30.800048401381744,1.6000000000000014,-0.010000000000000009,-0.05162239383340264,0.010527318680876351,-3.0,-3.0,0.0,0.6359763636234096,0.3993764610394546
2016-02-24,1917.56005859375,1932.0799560546875,1891.0,1929.800048828125,4317250000,1,0.0044299600346319485,59.242975971019,6.441688160151213,32.17868500213574,-0.26000000000000156,0.020000000000000018,-0.012618463959211462,0.013328033410348807,-2.0,-2.0,0.0,0.6842169730736285,0.415045939694567
2016-02-25,1931.8699951171875,1951.8299560546875,1925.4100341796875,1951.699951171875,4118210000,0,0.011284366730450844,65.54042455030726,7.255712644718019,31.406977518959675,-1.6099999999999994,-0.010000000000000009,0.04135518568191386,-0.0004037304909403373,0.0,0.0,0.0,0.7370173722117348,0.43105786816982966
2016-02-26,1954.949951171875,1962.9599609375,1945.780029296875,1948.050048828125,4348510000,0,-0.0018718653295646535,63.64920426996538,7.15306492137344,29.50175243280899,0.6999999999999993,-0.030000000000000027,0.0854872187918121,-0.0149717217583961,1.0,1.0,0.0,0.7953576799455545,0.4474340606824396
2016-02-29,1947.1300048828125,1958.27001953125,1931.81005859375,1932.22998046875,4588180000,1,-0.008154131091571704,55.62215877658647,5.737275061807225,29.09464582921592,0.740000000000002,0.0,0.004464293128685528,0.011492953798612126,1.0,1.0,0.0,2.054851890312566,-0.15957305476110045
2016-03-01,1937.0899658203125,1978.3499755859373,1937.0899658203125,1978.3499755859373,4819750000,1,0.023588385401618728,68.8406083673755,7.311097672333503,31.372131827244502,-2.8500000000000014,0.02000000000000013,-0.005303571398680555,-0.0029218229364777115,0.0,0.0,0.0,1.990172212905089,-0.12678014675942897
2016-03-02,1976.5999755859373,1986.510009765625,1968.800048828125,1986.449951171875,4666610000,1,0.004085949861101922,70.61435636689586,8.341749330236539,29.545337435202427,-0.6099999999999994,0.010000000000000009,0.018028501054657916,0.008739981710060525,-1.0,-1.0,0.0,1.8100635155002391,-0.17706029657013966
2016-03-03,1985.5999755859373,1993.68994140625,1977.3699951171875,1993.4000244140625,5081700000,1,0.003492634320316937,72.18211989893751,8.893518652671014,27.777614823104223,-0.39000000000000057,-0.010000000000000009,-0.017468903949959647,0.013048052901100447,-2.0,-2.0,0.0,1.6613589459274987,-0.23227597740432382
2016-03-04,1994.010009765625,2009.1300048828125,1986.77001953125,1999.989990234375,6049930000,1,0.0033004398659416986,73.71629063460094,9.076967541396368,27.05372496506228,0.16000000000000014,0.019999999999999796,0.05071970334222827,0.009892060054906658,-1.0,-1.0,0.0,1.5352468275587803,-0.29396659781757906
2016-03-07,1996.1099853515625,2006.1199951171875,1989.3800048828125,2001.760009765625,4968180000,0,0.0008846228008639487,74.15798198197534,8.704352643042208,25.676021420957007,0.490000000000002,0.0,0.036804362712720216,-0.005290031133051419,-1.0,-1.0,0.0,-0.6530785615622725,-2.6935021643993866
2016-03-08,1996.8800048828125,1996.8800048828125,1977.4300537109373,1979.260009765625,4641650000,1,-0.011303756056006186,59.493841468011624,6.484391865527712,25.496258932126658,1.3200000000000003,-0.04999999999999982,0.0035814824673443602,-0.0008711643665365201,2.0,2.0,0.0,-0.6645679537495861,-2.3408564134541106
2016-03-09,1981.43994140625,1992.68994140625,1979.8399658203125,1989.260009765625,4038120000,1,0.00503967278281425,63.223230403018945,5.2207980154384295,23.885185258201695,-0.33000000000000185,0.04999999999999982,0.02770260254933575,-0.004367339380404757,0.0,0.0,0.0,-0.6762619960035867,-2.082783571531103
2016-03-10,1990.969970703125,2005.0799560546875,1969.25,1989.5699462890625,4376790000,1,0.00015579279712262694,63.343923730077414,4.008361248356032,25.479734237882568,-0.28999999999999915,0.0,-0.04132924353345543,0.012180823359887589,-2.0,-2.0,0.0,-0.688169146924549,-1.8821760784593462
2016-03-11,1994.7099609375,2022.3699951171875,1994.7099609375,2022.18994140625,4078620000,0,0.016262545588851488,73.78969989053458,4.8934282717561075,26.456792012514747,-1.5500000000000007,0.01000000000000012,0.01999041452872216,-0.010511061395113142,0.0,0.0,0.0,-0.7002983440637003,-1.719608725140775
2016-03-14,2019.27001953125,2024.5699462890625,2012.050048828125,2019.6400146484373,3487850000,0,-0.0012617686166118578,71.94059940314281,4.843359271607188,24.59686350285998,0.4200000000000017,-0.010000000000000009,-0.03485572933890869,-0.011425897862328808,-1.0,-1.0,0.0,-0.49038132109509774,-1.16098250285646
2016-03-15,2015.27001953125,2015.93994140625,2005.22998046875,2015.9300537109373,3560280000,1,-0.0018386309343179589,69.03636142586222,4.126775420138117,23.237558088922334,-0.08000000000000185,-0.010000000000000009,-0.015089631120182771,-0.011314166048867756,-1.0,-1.0,0.0,-0.45352774846617694,-1.0862773429681274
2016-03-16,2014.239990234375,2032.02001953125,2010.0400390625,2027.219970703125,4057020000,1,0.0055847278817799184,72.88057838098405,3.959632894789358,23.069767513177517,-1.8499999999999996,0.07999999999999985,0.02346225983173328,-0.0008943982001956458,1.0,1.0,0.0,-0.41701024382522484,-1.0174999216198106
