Date,open,high,low,close,volume,Target_Dir,Log_Ret_t,RSI_14,MACD_Signal,ATR_14,VIX_Change,Term_Spread,Oil_Ret,Gold_Ret,USDINR_Ret,FG_Index,FG_Delta,FG_Zone,SVI_Market,SVI_Index,SP500_t1_Ret,FG_t1_Index
2016-02-19,7170.5498046875,7226.85009765625,7145.9501953125,7210.75,192300,1,0.002638432358562314,48.80960307216642,1.0081991254056817,137.33325515051743,-1.1099999999999994,-0.040000000000000036,-0.047495821469576815,0.003500959267383596,0.0,-2.0,-2.0,0.0,-0.4730286782715008,-0.6565686557018078,-0.0046766321239347,2.0
2016-02-22,7208.85009765625,7252.39990234375,7200.7001953125,7234.5498046875,154400,0,0.0032951654232690796,50.97924609700918,7.497061752410374,125.83865654091412,-1.1500000000000021,-0.010000000000000009,0.0591743491713353,-0.017132288543675846,-0.00014591084873047524,0.0,0.0,0.0,1.871263479263481,0.3699855194145792,-2.60332818018429e-05,-2.0
2016-02-23,7240.2998046875,7241.7001953125,7090.7001953125,7109.5498046875,194400,0,-0.017429210300505937,40.56103138206727,4.442898457157028,129.21303987067907,1.6000000000000014,-0.010000000000000009,-0.05162239383340264,0.010527318680876351,0.00029180041059105534,-3.0,-3.0,0.0,1.7224294263371933,0.33406734816842826,0.014350731099076,0.0
2016-02-24,7075.0,7090.7998046875,7009.75,7018.7001953125,199700,0,-0.0128608796700014,34.6266980961029,-2.3508873907378245,125.27149666180493,-0.26000000000000156,0.020000000000000018,-0.012618463959211462,0.013328033410348807,-0.00029180041059099186,-2.0,-2.0,0.0,1.5984773734373205,0.2979641774757694,-0.0125325775707884,-3.0
2016-02-25,7029.85009765625,7034.2001953125,6961.39990234375,6970.60009765625,283100,1,-0.006876725240095017,31.785732534701552,-8.586854604241893,118.24477766255247,-1.6099999999999994,-0.010000000000000009,0.04135518568191386,-0.0004037304909403373,0.004513365745606447,0.0,0.0,0.0,1.4936294002410688,0.2614939363173245,0.0044299600346319,-2.0
2016-02-26,7039.2998046875,7052.89990234375,6985.10009765625,7029.75,206700,0,0.008449825021575584,38.898854004493934,-7.7063026668860175,113.43398248257853,0.6999999999999993,-0.030000000000000027,0.0854872187918121,-0.0149717217583961,-0.0002905709740044599,1.0,1.0,0.0,1.4042515860500555,0.22445494362015417,0.0112843667304508,0.0
2016-02-29,7050.4501953125,7094.60009765625,6825.7998046875,6987.0498046875,473400,1,-0.006092735574228962,35.79019684143741,-8.591809125144039,134.21737968122588,0.740000000000002,0.0,0.004464293128685528,0.011492953798612126,-0.008903218702706295,1.0,1.0,0.0,-1.165705864017813,-0.5289611260091688,-0.0018718653295646,1.0
2016-03-01,7038.25,7235.5,7035.10009765625,7222.2998046875,275100,1,0.03311502695088197,57.42121506212534,6.3986856013571725,149.49166285821596,-2.8500000000000014,0.02000000000000013,-0.005303571398680555,-0.0029218229364777115,-0.006766721906817634,0.0,0.0,0.0,-1.1075734376098676,-0.5934712889626522,-0.0081541310915717,1.0
2016-03-02,7321.7001953125,7380.35009765625,7308.14990234375,7368.85009765625,338500,1,0.02008823459754814,65.72164460409186,25.116179457972436,150.63562025106714,-0.6099999999999994,0.010000000000000009,0.018028501054657916,0.008739981710060525,-0.005179441841548861,-1.0,-1.0,0.0,-1.0535116200200387,-0.6671508979274066,0.0235883854016187,0.0
2016-03-03,7429.5498046875,7483.9501953125,7406.0498046875,7475.60009765625,278600,1,0.014382727390574045,70.54734975472216,42.72188756274802,145.8874541866042,-0.39000000000000057,-0.010000000000000009,-0.017468903949959647,0.013048052901100447,-0.003716094949014814,-2.0,-2.0,0.0,-1.002953767735134,-0.7531429074764958,0.0040859498611019,-1.0
